species	total_length	completeness	draft_quality
Gordonia malaquae	4465464	99.58	high
Gordonia paraffinivorans	4632332	99.82	high
Streptococcus oralis	2184662	99.87	high
Janthinobacterium sp. CG3	6265216	99.26	high
Ochrobactrum sp. CDB2	4971228	99.12	medium
Corynebacterium callunae	2928683	99.45	high
Bradyrhizobium oligotrophicum	8264165	99.35	high
Brevibacillus brevis	6020449	99.73	medium
Rhodopirellula maiorica	8874084	98.17	high
Rhodopirellula europaea	7446194	97.58	high
Rhodopirellula sp. SWK7	8777069	98.75	high
Scytonema hofmannii	12294410	99.76	high
Rhodopirellula sallentina	8186686	98.75	high
Candidatus Liberibacter asiaticus	1268237	97.3	high
Nafulsella turpanensis	4805588	99.7	high
Leptospira kirschneri	4289160	96.47	medium
Leptospira alstonii	4436408	98.82	high
Candidatus Caldatribacterium saccharofermentans	2252356	99.44	medium
Bibersteinia trehalosi	2407846	98.9	high
Paraglaciecola psychrophila	5413691	98.46	high
Bifidobacterium thermophilum	2291643	100	high
Marinobacter santoriniensis	4033468	100	high
Streptococcus mutans	1976204	100	medium
Streptococcus ratti	2037184	100	medium
Avibacterium paragallinarum	2668385	98.86	high
Xanthomarina gelatinilytica	3055484	99.67	high
Bdellovibrio exovorus	2657893	99.1	high
Ilumatobacter coccineus	4830181	99.15	high
Blattabacterium sp. (Panesthia angustipennis spadica)	632490	97.58	high
Bhargavaea cecembensis	3207463	99.34	high
Cesiribacter andamanensis	4759956	96.35	high
Paeniglutamicibacter gangotriensis	4319900	99.4	high
Methylophaga lonarensis	2637625	98.94	high
Streptomyces davawensis	9555950	99.39	high
Leucobacter sp. UCD-THU	3317267	100	medium
Curtobacterium flaccumfaciens	3705324	97.98	high
Dietzia sp. UCD-THP	3927728	99.41	high
Lactobacillus pobuzihii	2351656	98.43	high
Candidatus Portiera aleyrodidarum	280663	22.26	low
Pseudomonas denitrificans	5696307	100	high
Azoarcus sp. KH32C	5818755	99.9	high
Helicobacter cinaedi	2240130	99.41	high
Richelia intracellularis	3243759	93.44	high
Richelia intracellularis	2212909	64.75	medium
Ilumatobacter nonamiensis	4282232	99.15	high
Halanaerobium saccharolyticum	2873865	99.13	high
Thermoplasmatales archaeon BRNA1	1461105	97.98	high
[Clostridium] termitidis	6415858	100	high
Leucobacter salsicius	3185418	99.42	high
Leptospira noguchii	4545395	98.82	medium
Leptolyngbya boryana	7262454	99.41	high
Brevibacillus borstelensis	5155092	100	medium
Vibrio alginolyticus	5146637	99.46	high
Thalassolituus oleivorans	3920328	99.48	high
Nitrosospira lacus	3107181	95.56	high
Psychroflexus gondwanensis	3311768	99.62	high
Gracilibacillus halophilus	3034425	99.12	medium
Methanocaldococcus villosus	1207361	94.52	medium
Clostridium sp. ASF356	2912727	97.32	high
Eubacterium plexicaudatum	6508819	98.16	high
Atopobium minutum	1706966	100	high
Peanut witches'-broom phytoplasma	566694	93.84	medium
Nocardioides sp. Iso805N	4434130	98.96	high
Pseudomonas thermotolerans	3752096	100	medium
Sulfolobus islandicus	2465177	99.4	medium
Actinomyces cardiffensis	2214851	98.58	high
Robiginitomaculum antarcticum	2769471	99.51	high
Cutibacterium avidum	2526138	100	high
Sphingobium xenophagum	4486420	99.66	high
Tetrasphaera elongata	3174691	97.03	high
Acinetobacter bohemicus	3657694	99.73	high
Acinetobacter parvus	2912642	100	high
Acinetobacter gerneri	4595172	100	high
Acinetobacter venetianus	3458264	100	high
Acinetobacter schindleri	3394558	100	high
Acinetobacter ursingii	3535739	96.62	high
Acinetobacter bouvetii	3388822	99.57	high
Acinetobacter radioresistens	3195486	100	high
Acinetobacter bereziniae	5026532	99.93	high
Acinetobacter beijerinckii	3563334	99.91	high
Acinetobacter lwoffii	3218415	100	high
Acinetobacter lwoffii	3301256	99.93	high
[Clostridium] innocuum	4803668	100	high
Clostridium colicanis	3505620	99.19	high
[Clostridium] bolteae	6377378	99.32	high
Actinopolyspora halophila	5353291	100	high
Methanocaldococcus villosus	1249385	98.81	high
alpha proteobacterium SCGC AAA027-J10	792980	69.56	medium
Thiothrix disciformis	3923954	98.24	high
actinobacterium SCGC AAA024-D14	778696	48.4	low
Oligella urethralis	2311610	99.2	medium
Corynebacterium capitovis	1960866	99.71	medium
zeta proteobacterium SCGC AB-604-O16	979689	37.93	low
SAR202 cluster bacterium SCGC AAA240-N13	1456231	26.58	low
actinobacterium SCGC AAA278-O22	1138490	74.4	medium
Nitrospina sp. SCGC AAA288-L16	2077614	73.45	medium
actinobacterium SCGC AAA023-J06	695943	34.48	low
Candidatus Poribacteria bacterium WGA-4E	3647669	63.74	medium
Corynebacterium ciconiae	2545566	99.9	medium
Porphyromonas somerae	2356678	99.42	medium
Streptococcus ferus	1847340	99.63	high
Corynebacterium ulceribovis	2300451	100	high
Kribbella catacumbae	9627810	100	medium
Streptomyces scabrisporus	11392659	100	high
Methylobacterium sp. 77	4664957	100	high
Methylocystis rosea	3912050	100	high
Methylosarcina fibrata	4978464	99.54	high
Methyloversatilis thermotolerans	4161309	100	high
Teredinibacter turnerae	5069061	100	medium
Hoeflea sp. 108	6112094	99.43	high
Burkholderia sp. JPY347	6387382	99.85	medium
Leptotrichia shahii	2144606	100	medium
Lewinella persica	7082771	98.83	high
Prevotella paludivivens	3455832	98.99	medium
Meiothermus timidus	3190628	99.57	high
Echinicola pacifica	5442202	100	medium
Pontibacter roseus	4581480	100	high
Leptotrichia wadei	2316529	100	medium
Frankia discariae	7891711	100	medium
Thiobacillus thioparus	3201518	100	high
Dasania marina	4104988	100	high
Spirochaeta alkalica	3358314	98.4	medium
Streptomyces sp. HmicA12	9161949	99.89	medium
Streptomyces sp. BoleA5	8646873	100	medium
Oligella ureolytica	2668297	99.84	medium
Legionella shakespearei	3512682	99.62	medium
Erysipelothrix tonsillarum	1931022	100	medium
Corynebacterium pilosum	2531632	99.56	medium
Blautia producta	6085687	99.36	medium
Mycobacterium sp. 155	4609894	100	high
Actinopolymorpha alba	7983713	98.53	medium
Endozoicomonas elysicola	5545668	98.98	medium
Uliginosibacterium gangwonense	5021710	99.59	medium
Desulfobacter curvatus	5644283	99.96	medium
Kiloniella laminariae	4438944	100	medium
Spirosoma panaciterrae	8129284	100	high
Segetibacter koreensis	6107890	99.51	high
Spirosoma luteum	6613584	99.4	high
Spirosoma spitsbergense	7547982	100	high
Niabella aurantiaca	5927438	100	high
Meganema perideroedes	3409949	99.84	high
Frankia elaeagni	7589313	98.62	high
Actinomadura flavalba	6167782	99.47	medium
Allofustis seminis	1441290	95.86	high
Bacillus acidiproducens	3318479	99.09	medium
Brevibacillus laterosporus	5278007	100	medium
Riemerella columbina	2436793	100	high
Actinokineospora enzanensis	8119858	99.03	medium
Ahrensia kielensis	3364770	98.48	high
Algicola sagamiensis	4341282	96.97	medium
Amorphus coralli	4317545	98.1	high
Anaeromusa acidaminophila	3475815	100	medium
Bacillus fordii	4509444	94.46	medium
Bacteroides barnesiae	3619906	98.51	medium
Brachymonas chironomi	2503561	98.83	high
Arhodomonas aquaeolei	3957769	99.3	medium
Chitiniphilus shinanonensis	4151628	99.57	medium
Paenibacillus sanguinis	4804136	99.85	medium
Paenibacillus terrigena	6361561	99.73	medium
Wohlfahrtiimonas chitiniclastica	1991020	100	medium
Corynebacterium mastitidis	2370005	99.67	medium
Bacteroides propionicifaciens	2634691	99.24	medium
Gracilimonas tropica	3831242	99.89	high
Balneola vulgaris	2857749	100	high
Desulfovibrio oxyclinae	3324581	95.27	high
Kordiimonas gwangyangensis	4082245	100	high
Porphyromonas bennonis	2023236	97.03	medium
crenarchaeote SCGC AAA261-N23	1203892	73.65	medium
Streptomyces sp. LaPpAH-95	7564593	99.58	medium
Nitrospina sp. AB-629-B06	1626233	48.29	low
Nitrospina sp. AB-629-B18	2543863	80.17	medium
Marinimicrobia bacterium SCGC AB-629-J13	1933947	60.44	medium
Sulfurovum sp. SCGC AAA036-F05	611024	29.52	low
Asticcacaulis benevestitus	4987073	99.68	high
Martelella mediterranea	5643744	99.42	medium
Lactobacillus casei	2628832	99.46	medium
gamma proteobacterium SCGC AB-629-K02	1054487	24.37	low
Effusibacillus pohliae	3363524	98.46	medium
Acaricomes phytoseiuli	2419519	99.31	high
Thermus igniterrae	2225983	99.58	high
Desulfurispora thermophila	2821579	99.37	medium
Thiobacillus denitrificans	3609948	100	high
Haladaptatus paucihalophilus	4317540	99.08	high
Ruegeria mobilis	4830028	99.47	high
Streptomyces hokutonensis	11828360	99.14	high
Wolbachia endosymbiont of Drosophila simulans	1301823	100	high
Mannheimia haemolytica	2731870	99.81	high
Meiothermus ruber	3098881	99.57	high
Hahella ganghwensis	6564965	99.89	high
Henriciella marina	3277765	99.35	high
Demetria terragena	3574772	99.46	high
Alloscardovia criceti	1884654	99.77	high
Leeia oryzae	3785435	99.57	high
Methanothermococcus thermolithotrophicus	1686930	100	medium
Streptococcus henryi	2422509	100	medium
Streptococcus minor	1927889	99.88	high
Paenibacillus massiliensis	6385800	99.26	medium
Thiomonas sp. FB-6	4204671	99.57	high
Salsuginibacillus kocurii	3831781	98.66	medium
Gilvimarinus chinensis	4068866	100	high
Gracilibacillus lacisalsi	4409254	99.34	medium
Thioalkalivibrio sp. ALJ24	2814898	99.94	high
Thioalkalivibrio sp. AKL17	2803222	99.92	high
Sporolactobacillus vineae	2862363	98.29	medium
Coprothermobacter platensis	1424377	98.21	high
Xanthobacteraceae bacterium 501b	5108628	100	high
Marinobacterium rhizophilum	5364574	100	medium
Prevotella loescheii	3508589	99.66	medium
Rubritalea marina	3013271	100	high
Rudaea cellulosilytica	4343639	99.54	high
Saccharibacillus kuerlensis	4699563	99.68	medium
Saccharibacter floricola	2384067	99.25	medium
Salinimonas chungwhensis	3985437	100	medium
Methylophilus methylotrophus	2860219	100	high
Azoarcus toluclasticus	5925983	99.9	high
Hirschia maritima	3351270	99.08	high
Paenibacillus daejeonensis	7464058	99.73	medium
Succinimonas amylolytica	3964271	100	high
Cohnella laeviribosi	4476185	99.19	medium
Elioraea tepidiphila	4304237	99.25	high
Flavobacterium rivuli	4489248	99.46	medium
Halomonas lutea	4533090	99.57	medium
Colwellia piezophila	5484375	100	medium
Peptoniphilus lacrimalis	1849203	99.3	high
Prevotella amnii	2391937	99.66	medium
Psychroflexus tropicus	3001811	99.62	medium
actinobacterium SCGC AAA278-I18	944397	63.73	medium
actinobacterium SCGC AAA044-N04	1286658	79.59	medium
actinobacterium SCGC AAA028-A23	833294	57.56	medium
actinobacterium SCGC AAA023-D18	753259	44.22	low
Thioalkalivibrio thiocyanodenitrificans	3746647	99.94	high
Orenia marismortui	3459766	99.13	high
Methylosinus sp. LW4	4824446	99.69	high
Bradyrhizobium elkanii	9484767	100	high
Teredinibacter turnerae	5387817	100	high
Capnocytophaga cynodegmi	2657104	100	high
zeta proteobacterium SCGC AB-137-C09	2446432	82.7	medium
zeta proteobacterium SCGC AB-602-C20	990274	22.69	low
Verrucomicrobium sp. 3C	2772066	97.93	high
Corynebacterium lubricantis	2944170	99.78	medium
Fangia hongkongensis	2946743	100	high
Sciscionella marina	8536451	99.29	high
Wenxinia marina	4175892	99.39	high
Desulfitobacterium hafniense	5563209	98.98	medium
Lamprocystis purpurea	6908745	99.58	high
Rhizobium giardinii	6810126	100	medium
Actinomycetospora chiangmaiensis	5861079	98.76	medium
Actinoplanes globisporus	10988507	100	medium
Butyricimonas synergistica	4770838	100	medium
Catelliglobosispora koreensis	7688589	99.47	high
Corynebacterium caspium	1843677	98.13	medium
Cytophaga aurantiaca	4425125	100	high
Flexithrix dorotheae	9536821	99.4	high
Lewinella cohaerens	7298817	99.5	high
Longispora albida	6821241	100	high
Moraxella boevrei	2427214	99.81	high
Mycobacterium hassiacum	5082325	99.77	medium
Nonomuraea coxensis	8996452	99.89	medium
Rodentibacter pneumotropicus	2257166	99.66	medium
Porphyromonas levii	2516477	99.92	medium
Porphyromonas macacae	2214526	99.92	medium
Prevotella nanceiensis	2650108	99.32	medium
Streptococcus caballi	2122044	99.5	high
Streptococcus didelphis	1877438	99.62	high
Streptococcus entericus	2036468	98.13	medium
Streptococcus marimammalium	1505444	99.62	high
Streptococcus massiliensis	1864153	99.29	medium
Streptococcus merionis	2357340	100	high
Streptococcus orisratti	2416134	99.88	medium
Streptococcus ovis	2358538	99.88	high
Streptomyces vitaminophilus	6429887	100	medium
Thiothrix flexilis	3787626	98.71	high
filamentous cyanobacterium ESFC-1	5632035	99.04	high
Bacillus massiliogorillae	5451072	97.72	high
Gordonia kroppenstedtii	4225368	99.58	medium
Kaistia granuli	4766107	100	high
Microbulbifer variabilis	4835674	99.03	high
Smaragdicoccus niigatensis	5320466	98.76	high
Crenarchaeota archaeon SCGC AAA471-B05	1413297	88.24	medium
Fervidibacteria bacterium SCGC AAA471-D06	2094346	53.96	medium
Hydrogenedentes bacterium JGI 0000039-J10	2924052	88.32	medium
Paenibacillus ginsengihumi	5675308	99.73	medium
Proteiniphilum acetatigenes	4776693	99.45	high
Selenomonas bovis	2688760	100	medium
Streptomyces sulphureus	7104952	99.82	medium
Propionispira raffinosivorans	4134382	99.91	medium
Thiomicrospira arctica	2552883	99.39	high
Caldimonas manganoxidans	3532116	100	high
Curvibacter lanceolatus	6832523	100	medium
Deinococcus apachensis	4452642	99.58	high
Bacteroides salyersiae	5315450	99.26	high
Peptostreptococcus anaerobius	2106935	100	medium
Rhodonellum psychrophilum	5193701	100	high
Acidobacteriaceae bacterium KBS 83	6250814	99.14	high
Acidobacteriaceae bacterium KBS 89	6009926	100	high
Acidobacteriaceae bacterium KBS 96	6692160	97.39	high
Teredinibacter turnerae	5147360	100	medium
Fusobacterium russii	1941804	98.88	medium
Psychromonas ossibalaenae	5204311	100	medium
Pseudoclavibacter faecalis	2847348	98.64	high
Amphritea japonica	3799525	99.14	high
Thioalkalivibrio sp. ALJT	2659308	99.58	high
Actinomadura atramentaria	6710579	100	medium
Paenibacillus fonticola	6309271	99.85	medium
Nocardia sp. BMG111209	9143142	99.75	medium
Oceanimonas smirnovii	3282720	100	medium
Novispirillum itersonii	4290651	100	medium
Pseudoalteromonas piscicida	5277109	100	medium
[Eubacterium] siraeum	2664035	97.2	medium
Eudoraea adriatica	3906474	99.28	high
Psychrobacter lutiphocae	3176011	99.79	medium
Rheinheimera perlucida	4000424	100	medium
Bordetella sp. FB-8	4079718	100	high
Hymenobacter aerophilus	4253037	99.4	medium
Kushneria aurantia	3750691	99.09	medium
Loktanella vestfoldensis	3721596	99.29	high
Vitreoscilla stercoraria	2581302	99.57	medium
Woodsholea maritima	3105947	99.35	high
Massilia niastensis	6594487	99.85	medium
Prevotella maculosa	3314235	99.32	medium
Empedobacter brevis	3792478	100	medium
Sphingomonas sp. Mn802worker	3185459	99.16	high
alpha proteobacterium SCGC AAA300-J04	621089	15.52	low
Verrucomicrobia bacterium SCGC AAA300-K03	1231056	40.54	low
Verrucomicrobia bacterium SCGC AAA300-O17	1147554	39.49	low
Aureimonas ureilytica	5087183	99.19	medium
Sphingomonas sp. PR090111-T3T-6A	3910956	99.89	high
alpha proteobacterium SCGC AAA015-O19	1742668	59.05	medium
alpha proteobacterium SCGC AAA076-C03	1967776	83.94	medium
[Clostridium] sporosphaeroides	3174421	97.99	high
Cryocola sp. 340MFSha3.1	4090615	99.24	high
gamma proteobacterium SCGC AAA076-P09	987278	44.89	low
gamma proteobacterium SCGC AAA160-D02	847628	45.49	low
Hyphomicrobium zavarzinii	4651795	99.59	high
Lactobacillus parabrevis	2631123	99.06	medium
Nocardia sp. 348MFTsu5.1	5711547	99.31	medium
Terracoccus sp. 273MFTsu3.1	4938734	100	high
Verrucomicrobia bacterium SCGC AAA164-E04	3949105	71.9	medium
Verrucomicrobia bacterium SCGC AAA164-M04	2433107	57.99	medium
Verrucomicrobia bacterium SCGC AAA300-N18	1693616	51.64	medium
Saccharomonospora saliphila	4030889	87.48	medium
actinobacterium SCGC AAA027-J17	966562	65.26	medium
Chloroflexi bacterium SCGC AB-629-P13	842801	52.64	medium
Methylobacter marinus	4988792	98.75	high
Caldibacillus debilis	3059517	99.42	medium
Duganella zoogloeoides	6272951	99.87	medium
Amycolatopsis benzoatilytica	8704271	100	high
Rudanella lutea	6546036	100	high
Natronorubrum tibetense	4934841	99.36	medium
Actinopolyspora mortivallis	4233350	100	high
Methylovulum miyakonense	4687143	99.23	high
Sporichthya polymorpha	5500153	100	high
Succinispira mobilis	2085243	99.4	high
Streptomyces purpureus	7458334	99.93	high
Allobaculum stercoricanis	2052877	98.11	high
Thiomicrospira halophila	2356686	99.34	high
Amycolatopsis nigrescens	9111009	100	high
Hyphomicrobium sp. 99	4108307	99.39	high
Methylotenera sp. 1P/1	2747525	99.57	high
Methylotenera versatilis	2604277	99.57	high
Geopsychrobacter electrodiphilus	4241730	99.35	high
Cycloclasticus pugetii	2383924	99.94	high
Methylopila sp. M107	4453493	100	high
actinobacterium SCGC AAA015-D07	629035	53.45	medium
actinobacterium SCGC AAA027-M14	822296	43.1	low
alpha proteobacterium SCGC AAA536-G10	2161697	79.44	medium
alpha proteobacterium SCGC AAA298-K06	1744268	39.81	low
Halodesulfovibrio aestuarii	3545807	100	medium
gamma proteobacterium SCGC AAA076-P13	1311157	65.55	medium
gamma proteobacterium SCGC AAA168-I18	957144	55.29	medium
Bartonella bovis	1624667	99.38	high
gamma proteobacterium SCGC AAA300-D14	1459518	70.22	medium
gamma proteobacterium SCGC AAA536-N21	436570	30	low
gamma proteobacterium SCGC AAA168-P09	1309253	70.1	medium
Oceanospirillales bacterium SCGC AAA298-N10	1020980	54.41	medium
Promicromonospora sukumoe	6253582	100	medium
Salinicoccus albus	2639352	99.43	medium
Thioalkalivibrio thiocyanoxidans	2765337	99.97	high
Verrucomicrobia bacterium SCGC AAA164-N20	1203363	30.1	low
Methyloferula stellata	4235448	99.48	high
Bartonella bovis	1623938	99.38	high
Bartonella vinsonii	2024128	99.96	high
Bartonella schoenbuchensis	1680471	99.38	high
Archaeoglobus sulfaticallidus	2076931	100	high
Vermiphilus pyriformis	1074689	85.39	medium
Streptococcus cristatus	2142100	99.13	high
Caldisalinibacter kiritimatiensis	2788198	98.59	medium
Aeromonas molluscorum	4236171	97.95	medium
Holospora undulata	1402636	88.71	medium
Clostridium pasteurianum	5044100	100	high
Rhodococcus rhodnii	4383575	96.93	high
Sulfolobales archaeon Acd1	1506462	99.4	medium
Actinoplanes sp. N902-109	9228054	99.47	high
Nocardioides sp. CF8	4219246	97.75	high
Lunatimonas lonarensis	5392044	100	high
Thermotoga maritima	1869612	100	high
Candidatus Saccharimonas aalborgensis	1013781	67.13	medium
Enterococcus asini	2598724	99.25	high
Marinobacter lipolyticus	4020008	99.57	high
Lactobacillus fermentum	2064620	98.63	high
Pseudomonas protegens	6867980	99.38	high
Fervidibacteria bacterium JGI 0000001-G10	1013888	33.59	low
Cloacimonetes bacterium SCGC AAA252-O17	1947828	70.51	medium
Candidatus Paceibacter normanii	553464	58.59	medium
Aminicenantes bacterium SCGC AAA252-O11	964336	41.69	low
Aminicenantes bacterium SCGC AAA255-E10	979257	28.58	low
Crenarchaeota archaeon SCGC AAA471-O08	1149914	77.6	medium
Butyricicoccus pullicaecorum	3325721	98.66	high
Marine Group I thaumarchaeote SCGC AB-629-I23	1309304	95.87	medium
Crenarchaeota archaeon SCGC AAA471-L14	940474	57.35	medium
Dickeya paradisiaca	4631867	99.14	medium
Acinetobacter tandoii	4078922	99.73	high
Dickeya solani	4867258	99.27	medium
Spiroplasma chrysopicola	1123322	99.62	high
Spiroplasma syrphidicola	1107344	99.62	high
Candidatus Poribacteria bacterium WGA-4C	1629655	25.45	low
Idiomarina loihiensis	2839759	100	high
Clostridium sartagoforme	3983371	98.52	high
Xanthomonas maliensis	4965572	97.99	medium
Piscirickettsia salmonis	2805478	98.43	medium
Thaumarchaeota archaeon SCGC AAA007-O23	1104438	97.33	high
Crenarchaeota archaeon SCGC AAA471-L13	833677	65.07	medium
Calescamantes bacterium JGI 0000106-G12	2244175	84.08	medium
Atribacteria bacterium SCGC AB-164-A22	939094	31.03	low
Hydrogenedentes bacterium JGI 0000059-N10	1200286	37.35	low
Candidatus Aerophobus profundus	2305959	69.2	medium
Candidatus Iainarchaeum andersonii	1098042	90.19	medium
Cloacimonetes bacterium JGI 0000014-D06	1109160	27.59	low
Marinimicrobia bacterium SCGC AAA257-N23	948616	27.41	low
Marinimicrobia bacterium SCGC AAA160-B08	922550	78.33	medium
Marinimicrobia bacterium SCGC AAA160-C11	824595	78.02	medium
Synergistetes bacterium JGI 0000079-D21	967373	55.93	medium
Microgenomates bacterium SCGC AAA011-L05	485374	35.21	low
Candidatus Latescibacter anaerobius	2290285	57.63	medium
Calescamantes bacterium SCGC AAA471-M6	1914298	76.44	medium
Arcticibacter svalbardensis	4687695	99.52	high
Lachnospiraceae bacterium A4	6961896	98.16	medium
Lachnospiraceae bacterium 3-1	5083159	97.99	high
Lachnospiraceae bacterium 28-4	4283535	97.13	high
Lachnospiraceae bacterium M18-1	5799088	94.74	high
Lachnospiraceae bacterium A2	5238929	98.28	high
Lachnospiraceae bacterium COE1	4967607	98.16	medium
Enterorhabdus caecimuris	2955616	100	high
Paenibacillus barengoltzii	4781233	99.85	high
Anaerotruncus sp. G3(2012)	3620383	98.66	high
Firmicutes bacterium M10-2	2407520	97.17	high
Oscillibacter sp. 1-3	4467686	99.33	high
Dorea sp. 5-2	6145811	98.83	high
Lachnospiraceae bacterium 3-2	4455623	94.74	high
Lachnospiraceae bacterium 10-1	4571652	97.13	high
Salinarchaeum sp. Harcht-Bsk1	3255260	97.53	high
Eubacterium sp. 14-2	3996868	98.56	high
Desulfobulbus sp. Dsb5	956973	32.57	low
Desulfobulbus sp. oral taxon 041	748241	25.15	low
Caldicellulosiruptor sp. F32	2378643	98.67	medium
Erwinia tracheiphila	4717274	97.67	medium
Methanobrevibacter sp. AbM4	1998189	100	medium
Candidatus Methanomassiliicoccus intestinalis	1931651	98.79	medium
Aerophobetes bacterium SCGC AAA255-F10	1263620	43.1	low
Armatimonadetes bacterium JGI 0000077-K19	1341701	44.44	low
BRC1 bacterium SCGC AAA257-C11	2383729	26.72	low
Calescamantes bacterium JGI 0000106-M22	1075074	38.45	low
Calescamantes bacterium JGI 0000106-J16	1075924	43.85	low
Calescamantes bacterium JGI 0000106-N7	1477701	65.16	medium
EM3 bacterium JGI 0000106-B10	1313942	54.84	medium
Cloacimonetes bacterium SCGC AAA252-O02	897531	39.56	low
Microgenomates bacterium SCGC AAA011-L6	946557	50.56	medium
Hydrogenedentes bacterium JGI 0000077-D07	1400936	40	low
Hydrogenedentes bacterium JGI 0000077-O16	1781666	66.6	medium
Atribacteria bacterium SCGC AB-164-D21	975853	32.2	low
Aminicenantes bacterium SCGC AAA255-A06	1387242	51.04	medium
Aigarchaeota archaeon JGI 0000106-J15	1085321	56.55	medium
Marinimicrobia bacterium SCGC AAA003-L08	1265631	72.41	medium
Crenarchaeota archaeon SCGC AAA471-B23	1110690	58.03	medium
Candidatus Omnitrophus fodinae	2037078	66.01	medium
Candidatus Poribacteria bacterium WGA-3G	5441554	84.35	medium
Chloroflexi bacterium oral taxon 439	1766700	49.36	low
Chloroflexi bacterium oral taxon 439	1097013	34.19	low
Enterococcus columbae	2583038	99.17	high
Enterococcus dispar	2822228	99.44	high
Enterococcus haemoperoxidus	3581919	100	high
Enterococcus avium	4614282	99.31	medium
Enterococcus saccharolyticus	2604038	99.34	high
Enterococcus asini	2572706	99.25	high
Enterococcus pallens	5437454	99.31	high
Enterococcus phoeniculicola	3910972	100	high
Enterococcus gilvus	4179913	99.31	high
Enterococcus sulfureus	2301651	99.34	high
Pseudochrobactrum sp. AO18b	3751461	99.57	high
Halomonas anticariensis	5070590	100	high
Lactobacillus paracasei	2892319	98.8	medium
Lactobacillus paracasei	3086694	98.91	high
Lactobacillus paracasei	2954364	98.37	medium
Lactobacillus paracasei	2981014	95.27	medium
Lactobacillus paracasei	3013500	98.41	high
Comamonas sp. B-9	5243763	97.44	medium
Pedobacter heparinus	5171533	100	high
Pseudomonas pelagia	4642307	99.91	high
Capnocytophaga granulosa	2746278	100	high
Actinotignum schaalii	2092357	99.12	high
Actinomyces europaeus	1906711	99.53	high
Paenisporosarcina sp. HGH0030	3522309	99.34	high
Coprococcus sp. HPP0048	2792342	98.73	high
Corynebacterium pyruviciproducens	2722973	99.9	high
Sutterella wadsworthensis	2988328	100	high
Atopobium sp. oral taxon 199	1665560	100	high
Exiguobacterium sp. S17	3127363	97.66	medium
Euryhalocaulis caribicus	3323095	99.84	high
Pseudomonas resinovorans	6484828	100	high
Treponema vincentii	2693493	100	high
Treponema socranskii	2742149	100	high
Treponema medium	2727508	100	high
Treponema maltophilum	2530388	100	high
Propionibacterium sp. oral taxon 192	2711056	99.34	high
Myroides odoratimimus	4040949	99.65	high
Agarivorans albus	4734285	100	high
Exiguobacterium sp. OS-77	3151479	99.34	medium
Gardnerella vaginalis	1573879	99.09	medium
Gardnerella vaginalis	1572875	98.06	medium
Gardnerella vaginalis	1665594	98.11	medium
Enterococcus faecalis	2904787	99.53	medium
Enterococcus faecalis	2656402	99.63	medium
Enterococcus faecalis	4190056	99.25	medium
Enterococcus faecalis	2933038	99.63	medium
Chlamydia psittaci	1180598	97.74	high
Chlamydia psittaci	1176917	97.89	high
halophilic archaeon J07HX5	2040945	44.17	low
Haloquadratum walsbyi	3475501	82.33	medium
Haloquadratum walsbyi	3594539	93.82	medium
Haloquadratum sp. J07HQX50	3019909	69.97	medium
Halonotius sp. J07HN6	2529000	92.47	high
Halorubrum sp. J07HR59	2120805	56.54	medium
halophilic archaeon J07HX64	2982938	86.78	medium
Osedax symbiont Rs2	4649842	89.32	medium
Sphingobacterium paucimobilis	5126359	99.37	high
Chlamydia psittaci	1192107	97.89	high
Chlamydia psittaci	1213046	99.49	high
Chlamydia psittaci	1211664	66.03	medium
Corynebacterium terpenotabidum	2751233	98.87	high
Lactobacillus casei	3143369	99.46	high
Gryllotalpicola ginsengisoli	2944984	99.24	medium
alpha proteobacterium SCGC AAA487-M09	627365	53.15	medium
Leucothrix mucor	5185674	98.86	high
Salisaeta longa	3399024	98.84	high
Flavobacterium antarcticum	3079036	99.65	high
Patulibacter americanus	4470560	99.14	high
Perlucidibaca piscinae	2424065	98.95	high
Varibaculum cambriense	2022936	99.53	high
Desulfospira joergensenii	6119470	99.35	medium
Paracoccus zeaxanthinifaciens	3049695	97.97	medium
Bacillus coagulans	2947823	99.45	medium
Psychromonas hadalis	3979980	100	medium
Oceanicaulis alexandrii	3018426	99.84	high
Simiduia agarivorans	4274427	100	medium
Sphingopyxis baekryungensis	3068208	99.82	high
Spongiibacter tropicus	3947342	100	high
Faecalicoccus pleomorphus	1992636	98.11	high
Weissella halotolerans	1358385	99.39	medium
Hippea alviniae	1749386	98.77	medium
Actinomyces neuii	2270293	100	high
Actinomyces vaccimaxillae	2338426	100	high
Actinotignum urinale	1920341	99.78	medium
Desulfovibrio desulfuricans	3391683	99.41	high
Desulfovibrio longus	3701832	100	high
Alloscardovia omnicolens	1847146	100	high
Aquaspirillum serpens	2612795	98.27	medium
Arenimonas oryziterrae	3091755	99.66	high
Corynebacterium callunae	2885106	99.45	high
Corynebacterium massiliense	2183019	97.53	medium
Fodinicurvata sediminis	3690548	99.78	high
Nevskia ramosa	4515285	99.55	high
Ponticaulis koreensis	3400379	99.68	high
Hymenobacter norwichensis	6008309	100	medium
Marinococcus halotolerans	3139679	98.66	medium
Pseudorhodobacter ferrugineus	3430274	99.55	high
Sandarakinorhabdus limnophila	2613739	99.57	high
Yaniella halotolerans	2775456	95.43	medium
Butyrivibrio sp. AE2015	3711555	99.96	medium
Butyrivibrio sp. AE3009	4218197	99.96	medium
